,road,id,model_type,name,lat,lon,length,condition,bridge_length
1029,N1,1001029,bridge,,21.3563333,92.0790827,96.00000000000364,B,11.0
1030,N1,1001030,bridge,,21.35525,92.0790827,125.0,A,14.1
1031,N1,1001031,bridge,,21.3526667,92.0783327,305.0000000000068,A,10.3
1032,N1,1001032,link,,21.3490552,92.0784716,416.99999999997317,,
1033,N1,1001033,link,,21.3463608,92.0790271,312.0000000000118,,
1034,N1,1001034,link,,21.3461386,92.0789993,26.00000000001046,,
1035,N1,1001035,link,,21.3414997,92.0788327,535.000000000025,,
1036,N1,1001036,link,,21.3404997,92.0784993,122.99999999999045,,
1037,N1,1001037,bridge,,21.3381941,92.078916,267.99999999997226,A,14.0
1038,N1,1001038,bridge,,21.3324716,92.0790827,657.0000000000391,A,23.5
1039,N1,1001039,link,,21.3311104,92.0788604,163.99999999998727,,
1040,N1,1001040,bridge,,21.3297771,92.0787771,158.00000000001546,C,50.6
1041,N1,1001041,link,,21.3295271,92.0789438,31.999999999982265,,
1042,N1,1001042,link,,21.324666,92.084583,829.0000000000077,,
1043,N1,1001043,bridge,,21.3241104,92.085333,105.99999999999454,C,6.6
1044,N1,1001044,link,,21.3238049,92.0857219,55.00000000000682,,
1045,N1,1001045,bridge,,21.3207493,92.0893052,509.9999999999909,A,17.0
1046,N1,1001046,link,,21.3187493,92.0916108,336.9999999999891,,
1047,N1,1001047,bridge,,21.3179438,92.0921663,115.0000000000091,A,2.4
1048,N1,1001048,link,,21.3177771,92.0922497,19.99999999998181,,
1049,N1,1001049,link,,21.317666,92.0930274,81.99999999999363,,
1050,N1,1001050,bridge,,21.3125,92.096333,713.0000000000223,C,8.5
1051,N1,1001051,link,,21.3121944,92.0966941,52.00000000002092,,
1052,N1,1001052,link,,21.3120278,92.0969163,24.00000000000091,,
1053,N1,1001053,link,,21.3101667,92.0974997,219.99999999997044,,
1054,N1,1001054,bridge,,21.3039722,92.0967497,759.9999999999909,B,20.7
1055,N1,1001055,link,,21.3037778,92.0968052,23.000000000024556,,
1056,N1,1001056,link,,21.2989441,92.0976108,555.0000000000068,,
1057,N1,1001057,link,,21.2956386,92.0993886,425.9999999999877,,
1058,N1,1001058,link,,21.2949997,92.0993886,74.00000000001228,,
1059,N1,1001059,link,,21.2949163,92.0994163,7.999999999981355,,
1060,N1,1001060,link,,21.2863608,92.1001667,963.9999999999986,,
1061,N1,1001061,link,,21.2839441,92.1005278,274.99999999997726,,
1062,N1,1001062,link,,21.282777512080536,92.10067986442952,136.0000000000241,,
