,road,lrp,id,lat,lon,condition,bridge_length,Truck number,Truck percentage
179,N1,LRP078,1000175,23.4815549,91.0613611,NaN,NaN,12945.0,0.46846162197372704
180,N1,LRP079,1000176,23.4801104,91.0706382,NaN,NaN,12945.0,0.46846162197372704
181,N1,LRP079a,1000177,23.4770827,91.0789993,C,1.0,12945.0,0.46846162197372704
182,N1,LRP080,1000178,23.4770271,91.0794716,NaN,NaN,12945.0,0.46846162197372704
183,N1,LRP081,1000179,23.4781938,91.0889997,NaN,NaN,12945.0,0.46846162197372704
184,N1,LRP082,1000180,23.4775549,91.0986663,NaN,NaN,12945.0,0.46846162197372704
185,N1,LRP082a,1000181,23.4778604,91.1036111,NaN,NaN,12945.0,0.46846162197372704
186,N1,LRP083,1000182,23.4779993,91.1055278,NaN,NaN,12945.0,0.46846162197372704
187,N1,LRP083a,1000183,23.4789438,91.1177216,A,1.4,12945.0,0.46846162197372704
188,N1,LRP084,1000184,23.4789716,91.1179993,NaN,NaN,12945.0,0.46846162197372704
189,N1,LRP084a,1000185,23.4789716,91.1181938,NaN,NaN,12945.0,0.46846162197372704
190,N1,LRP084b,1000186,23.4793327,91.1234716,NaN,NaN,12945.0,0.46846162197372704
191,N1,LRP085,1000187,23.4800827,91.1276382,NaN,NaN,12945.0,0.46846162197372704
192,N1,LRP086,1000188,23.4767216,91.1364441,NaN,NaN,12945.0,0.46846162197372704
193,N1,LRP087,1000189,23.4682216,91.1394441,NaN,NaN,12945.0,0.46846162197372704
194,N1,LRP088,1000190,23.4595833,91.1421386,NaN,NaN,12945.0,0.46846162197372704
195,N1,LRP088a,1000191,23.459,91.142333,NaN,NaN,12945.0,0.46846162197372704
196,N1,LRP089,1000192,23.4513056,91.1460552,NaN,NaN,12945.0,0.46846162197372704
197,N1,LRP089a,1000193,23.448833,91.1471386,NaN,NaN,12945.0,0.46846162197372704
198,N1,LRP089b,1000194,23.4486386,91.1472497,NaN,NaN,12945.0,0.46846162197372704
199,N1,LRP089c,1000195,23.4469441,91.1481386,NaN,NaN,13556.0,0.5750159066808059
200,N1,LRP090,1000196,23.4425274,91.1497774,NaN,NaN,13556.0,0.5750159066808059
201,N1,LRP091,1000197,23.4373886,91.1521944,NaN,NaN,13556.0,0.5750159066808059
202,N1,LRP092,1000198,23.4288882,91.1553889,NaN,NaN,13556.0,0.5750159066808059
203,N1,LRP093,1000199,23.4236938,91.1626944,NaN,NaN,13556.0,0.5750159066808059
204,N1,LRP093a,1000200,23.4235827,91.1629722,NaN,NaN,13556.0,0.5750159066808059
205,N1,LRP093b,1000201,23.423416,91.1632778,NaN,NaN,13556.0,0.5750159066808059
206,N1,LRP093c,1000202,23.4213604,91.167666,NaN,NaN,13556.0,0.5750159066808059
207,N1,LRP094,1000203,23.4195271,91.171416,NaN,NaN,13556.0,0.5750159066808059
208,N1,LRP094a,1000204,23.4191382,91.1721938,NaN,NaN,13556.0,0.5750159066808059
209,N1,LRP094a,1000204,23.4191382,91.1721938,NaN,NaN,13556.0,0.5750159066808059
210,N1,LRP095,1000205,23.4149444,91.1801382,NaN,NaN,13556.0,0.5750159066808059
211,N1,LRP095a,1000206,23.4131111,91.1846663,NaN,NaN,13556.0,0.5750159066808059
212,N1,LRP095b,1000207,23.4130556,91.1849163,NaN,NaN,13556.0,0.5750159066808059
213,N1,LRP096,1000208,23.4125,91.1893886,NaN,NaN,13556.0,0.5750159066808059
214,N1,LRP097,1000209,23.4113056,91.1988886,NaN,NaN,13556.0,0.5750159066808059
215,N1,LRP098,1000210,23.4100833,91.2087778,NaN,NaN,13556.0,0.5750159066808059
216,N1,LRP098a,1000211,23.4100278,91.2090833,A,27.9,13556.0,0.5750159066808059
217,N1,LRP099,1000212,23.4048056,91.2165278,NaN,NaN,13556.0,0.5750159066808059
218,N1,LRP099a,1000213,23.40375,91.2176382,NaN,NaN,13556.0,0.5750159066808059
219,N1,LRP099b,1000214,23.4035556,91.2178049,NaN,NaN,13556.0,0.5750159066808059
220,N1,LRP100,1000215,23.398213447804338,91.22288776581436,NaN,NaN,13556.0,0.5750159066808059
221,N1,LRP101,1000216,23.3915274,91.2292493,NaN,NaN,13556.0,0.5750159066808059
222,N1,LRP101a,1000217,23.3914441,91.2293049,A,30.48,13556.0,0.5750159066808059
