,index,road,chainage,lrp,lat,lon,gap,type,name,model_type,length,id_jump,condition,road_name,bridge_length,road_id,road_id_sliced,geometry,id,model_type,dist
105,6781,N517,8.21,LRPE,25.7647778,89.2315827,,Others,,intersection,210.00000000000085,,,Unknown,,N517LRPE,N517LRPE,POINT (89.2315827 25.7647778),1005449,potential intersection,0.0002560864112052326
106,6782,N518,0.0,LRPS,25.7808882,88.9160833,,Others,,intersection,,,,Unknown,,N518LRPS,N518LRPS,POINT (88.9160833 25.7808882),1005529,potential intersection,8.781645631595208e-05
107,6800,N518,4.16,LRPE,25.7732493,88.8760827,,Others,,intersection,70.99999999999973,,,Unknown,,N518LRPE,N518LRPE,POINT (88.8760827 25.7732493),1005550,potential intersection,0.0002389237744535472
108,6801,N520,0.0,LRPS,24.3049167,89.5652222,,Others,,intersection,,,,Unknown,,N520LRPS,N520LRPS,POINT (89.5652222 24.3049167),1005065,potential intersection,0.000177866298099033
109,6809,N520,2.601,LRPE,24.3246104,89.5627778,,Others,,intersection,536.0,,,Unknown,,N520LRPE,N520LRPE,POINT (89.5627778 24.3246104),1005073,potential intersection,0.0001001788899998487
110,6810,N540,0.0,LRPS,23.9135,90.2585,,Others,,intersection,,,,Unknown,,N540LRPS,N540LRPS,POINT (90.2585 23.9135),1004724,potential intersection,0.00022393231120077333
111,6835,N540,16.01,LRPE,24.0475552,90.2388886,,Others,,intersection,1010.0000000000016,,,Unknown,,N540LRPE,N540LRPE,POINT (90.2388886 24.0475552),1004120,potential intersection,0.00018630920535392045
112,6836,N6,0.0,LRPS,23.9578056,89.6068889,,Others,,intersection,,,,Unknown,,N6LRPS,N6LRPS,POINT (89.6068889 23.9578056),1004949,potential intersection,5.5499999998431804e-05
113,7261,N6,232.244,LRPE,24.84144964,88.14171634,,Others,,intersection,30.000000000001137,,,Unknown,,N6LRPE,N6LRPE,POINT (88.14171634 24.84144964),1007240,potential intersection,0.11805445502884275
114,7262,N602,0.0,LRPS,24.4105833,90.0080278,,Others,,intersection,,,,Unknown,,N602LRPS,N602LRPS,POINT (90.0080278 24.4105833),1007265,potential intersection,0.011811262888022462
115,7279,N602,5.64,LRPE,24.4065833,89.9568056,,Others,,intersection,620.0000000000001,,,Unknown,,N602LRPE,N602LRPE,POINT (89.9568056 24.4065833),1007277,potential intersection,0.0060446806532782876
116,7280,N603,0.0,LRPS,24.3663889,88.7263882,,Others,,intersection,,,,Unknown,,N603LRPS,N603LRPS,POINT (88.7263882 24.3663889),1007089,potential intersection,0.00033912105508683094
117,7368,N603,21.03,LRPE,24.3832216,88.5454163,,Others,,intersection,40.0000000000027,,,Unknown,,N603LRPE,N603LRPE,POINT (88.5454163 24.3832216),1007122,potential intersection,0.00041015053334631283
118,7369,N604,0.0,LRPS,24.0073889,89.2587222,,Others,,intersection,,,,Unknown,,N604LRPS,N604LRPS,POINT (89.2587222 24.0073889),1007378,potential intersection,0.015499991206447081
119,7404,N604,7.83,LRPE,24.0322493,89.2258882,,Others,,intersection,299.99999999999983,,,Unknown,,N604LRPE,N604LRPE,POINT (89.2258882 24.0322493),1006912,potential intersection,0.0004858554929174442
120,7405,N605,0.0,LRPS,24.3684438,88.5811104,,Others,,intersection,,,,Unknown,,N605LRPS,N605LRPS,POINT (88.5811104 24.3684438),1007409,potential intersection,0.011240913592759721
121,7413,N605,2.96,LRPE,24.3745549,88.6040556,,Others,,intersection,387.9999999999999,,,Unknown,,N605LRPE,N605LRPE,POINT (88.6040556 24.3745549),1007409,potential intersection,0.015392038170754874
